Rango2,Provincias,Cantidad
"70-79,""Santiago de Cuba"",6"
"80-89,""Santiago de Cuba"",1"
"90-99,""Santiago de Cuba"",0"
"100 o más,""Santiago de Cuba"",0"
"0-9,""Villa Clara"",11"
"10-19,""Villa Clara"",25"
"20-29,""Villa Clara"",27"
"30-39,""Villa Clara"",20"
"40-49,""Villa Clara"",27"
"50-59,""Villa Clara"",35"
"60-69,""Villa Clara"",15"
"70-79,""Villa Clara"",18"
"80-89,""Villa Clara"",31"
"90-99,""Villa Clara"",4"
"100 o más,""Villa Clara"",1"
